      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
5.918e+06,3.353e+0,-8.941e-2,6.049e-2,-2.682e-1,3.293e-2,1.788e-3,1.210e-3,-5.365e-3,1.103e-1,-8.941e-3,4.752e-1,-8.430e+0,1.512e-3,0.000e+3,1.014e+2,-8.221e+0,2.016e-2,-7.945e-2,2.781e-2,-1.644e-1
6.122e+06,3.352e+0,-8.671e-2,5.670e-2,-2.601e-1,3.296e-2,1.734e-3,1.134e-3,-5.203e-3,1.103e-1,-8.671e-3,4.442e-1,-8.150e+0,1.418e-3,0.000e+3,1.013e+2,-7.962e+0,1.891e-2,-7.711e-2,2.603e-2,-1.592e-1
6.327e+06,3.351e+0,-8.415e-2,5.326e-2,-2.525e-1,3.298e-2,1.683e-3,1.065e-3,-5.049e-3,1.104e-1,-8.415e-3,4.161e-1,-7.889e+0,1.331e-3,0.000e+3,1.012e+2,-7.718e+0,1.777e-2,-7.489e-2,2.442e-2,-1.544e-1
6.531e+06,3.350e+0,-8.174e-2,5.011e-2,-2.452e-1,3.300e-2,1.635e-3,1.002e-3,-4.904e-3,1.104e-1,-8.174e-3,3.905e-1,-7.644e+0,1.253e-3,-5.421e-20,1.011e+2,-7.488e+0,1.674e-2,-7.279e-2,2.295e-2,-1.498e-1
6.735e+06,3.349e+0,-7.945e-2,4.724e-2,-2.384e-1,3.302e-2,1.589e-3,9.447e-4,-4.767e-3,1.105e-1,-7.945e-3,3.673e-1,-7.413e+0,1.181e-3,-2.711e-20,1.011e+2,-7.271e+0,1.578e-2,-7.080e-2,2.161e-2,-1.454e-1
6.939e+06,3.348e+0,-7.728e-2,4.460e-2,-2.319e-1,3.304e-2,1.546e-3,8.919e-4,-4.637e-3,1.105e-1,-7.728e-3,3.460e-1,-7.196e+0,1.115e-3,0.000e+3,1.010e+2,-7.066e+0,1.491e-2,-6.890e-2,2.039e-2,-1.413e-1
7.143e+06,3.347e+0,-7.523e-2,4.217e-2,-2.257e-1,3.305e-2,1.505e-3,8.434e-4,-4.514e-3,1.105e-1,-7.523e-3,3.266e-1,-6.992e+0,1.054e-3,0.000e+3,1.010e+2,-6.872e+0,1.411e-2,-6.710e-2,1.926e-2,-1.374e-1
7.347e+06,3.347e+0,-7.327e-2,3.993e-2,-2.198e-1,3.307e-2,1.465e-3,7.986e-4,-4.396e-3,1.106e-1,-7.327e-3,3.087e-1,-6.798e+0,9.983e-4,0.000e+3,1.009e+2,-6.688e+0,1.336e-2,-6.539e-2,1.822e-2,-1.338e-1
7.551e+06,3.346e+0,-7.141e-2,3.787e-2,-2.142e-1,3.308e-2,1.428e-3,7.573e-4,-4.285e-3,1.106e-1,-7.141e-3,2.923e-1,-6.615e+0,9.467e-4,-2.711e-20,1.009e+2,-6.514e+0,1.268e-2,-6.376e-2,1.727e-2,-1.303e-1
7.755e+06,3.345e+0,-6.964e-2,3.596e-2,-2.089e-1,3.309e-2,1.393e-3,7.191e-4,-4.179e-3,1.106e-1,-6.964e-3,2.772e-1,-6.442e+0,8.989e-4,-2.711e-20,1.008e+2,-6.348e+0,1.204e-2,-6.220e-2,1.639e-2,-1.270e-1
