      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
1.837e+06,9.158e-3,-8.568e-2,9.158e-3,-8.568e-2,9.982e-2,1.714e-3,1.832e-4,-1.714e-3,7.673e-4,-8.568e-3,7.699e-2,-8.597e-1,1.485e-4,0.000e+3,7.699e-2,-8.597e-1,1.000e+0,0.000e+3,1.540e-3,-1.719e-2
2.041e+06,7.433e-3,-7.728e-2,7.433e-3,-7.728e-2,9.985e-2,1.546e-3,1.487e-4,-1.546e-3,6.228e-4,-7.728e-3,6.245e-2,-7.749e-1,1.205e-4,-1.694e-21,6.245e-2,-7.749e-1,1.000e+0,0.000e+3,1.249e-3,-1.550e-2
2.245e+06,6.153e-3,-7.036e-2,6.153e-3,-7.036e-2,9.988e-2,1.407e-3,1.231e-4,-1.407e-3,5.155e-4,-7.036e-3,5.167e-2,-7.052e-1,9.978e-5,0.000e+3,5.167e-2,-7.052e-1,1.000e+0,0.000e+3,1.033e-3,-1.410e-2
2.449e+06,5.176e-3,-6.458e-2,5.176e-3,-6.458e-2,9.990e-2,1.292e-3,1.035e-4,-1.292e-3,4.337e-4,-6.458e-3,4.345e-2,-6.470e-1,8.394e-5,0.000e+3,4.345e-2,-6.470e-1,1.000e+0,0.000e+3,8.690e-4,-1.294e-2
2.653e+06,4.415e-3,-5.967e-2,4.415e-3,-5.967e-2,9.991e-2,1.193e-3,8.829e-5,-1.193e-3,3.699e-4,-5.967e-3,3.705e-2,-5.976e-1,7.159e-5,-8.470e-22,3.705e-2,-5.976e-1,1.000e+0,0.000e+3,7.410e-4,-1.195e-2
2.857e+06,3.809e-3,-5.545e-2,3.809e-3,-5.545e-2,9.992e-2,1.109e-3,7.619e-5,-1.109e-3,3.192e-4,-5.545e-3,3.196e-2,-5.552e-1,6.177e-5,0.000e+3,3.196e-2,-5.552e-1,1.000e+0,0.000e+3,6.392e-4,-1.110e-2
3.061e+06,3.320e-3,-5.178e-2,3.320e-3,-5.178e-2,9.993e-2,1.036e-3,6.641e-5,-1.036e-3,2.782e-4,-5.178e-3,2.785e-2,-5.184e-1,5.384e-5,4.235e-22,2.785e-2,-5.184e-1,1.000e+0,0.000e+3,5.571e-4,-1.037e-2
3.265e+06,2.920e-3,-4.857e-2,2.920e-3,-4.857e-2,9.994e-2,9.713e-4,5.839e-5,-9.713e-4,2.446e-4,-4.857e-3,2.449e-2,-4.862e-1,4.735e-5,0.000e+3,2.449e-2,-4.862e-1,1.000e+0,0.000e+3,4.898e-4,-9.724e-3
3.469e+06,2.587e-3,-4.573e-2,2.587e-3,-4.573e-2,9.995e-2,9.146e-4,5.175e-5,-9.146e-4,2.168e-4,-4.573e-3,2.170e-2,-4.577e-1,4.196e-5,0.000e+3,2.170e-2,-4.577e-1,1.000e+0,0.000e+3,4.340e-4,-9.155e-3
3.673e+06,2.309e-3,-4.320e-2,2.309e-3,-4.320e-2,9.995e-2,8.641e-4,4.617e-5,-8.641e-4,1.934e-4,-4.320e-3,1.936e-2,-4.324e-1,3.744e-5,4.235e-22,1.936e-2,-4.324e-1,1.000e+0,0.000e+3,3.872e-4,-8.648e-3
3.878e+06,2.073e-3,-4.094e-2,2.073e-3,-4.094e-2,9.996e-2,8.188e-4,4.145e-5,-8.188e-4,1.737e-4,-4.094e-3,1.738e-2,-4.097e-1,3.361e-5,0.000e+3,1.738e-2,-4.097e-1,1.000e+0,0.000e+3,3.476e-4,-8.195e-3
4.082e+06,1.871e-3,-3.890e-2,1.871e-3,-3.890e-2,9.996e-2,7.781e-4,3.742e-5,-7.781e-4,1.568e-4,-3.890e-3,1.569e-2,-3.893e-1,3.034e-5,0.000e+3,1.569e-2,-3.893e-1,1.000e+0,0.000e+3,3.137e-4,-7.786e-3
4.286e+06,1.697e-3,-3.706e-2,1.697e-3,-3.706e-2,9.997e-2,7.412e-4,3.395e-5,-7.412e-4,1.422e-4,-3.706e-3,1.423e-2,-3.708e-1,2.753e-5,2.118e-22,1.423e-2,-3.708e-1,1.000e+0,0.000e+3,2.846e-4,-7.416e-3
4.49e+06,1.547e-3,-3.538e-2,1.547e-3,-3.538e-2,9.997e-2,7.076e-4,3.094e-5,-7.076e-4,1.296e-4,-3.538e-3,1.297e-2,-3.540e-1,2.508e-5,2.118e-22,1.297e-2,-3.540e-1,1.000e+0,0.000e+3,2.594e-4,-7.080e-3
4.694e+06,1.416e-3,-3.385e-2,1.416e-3,-3.385e-2,9.997e-2,6.770e-4,2.831e-5,-6.770e-4,1.186e-4,-3.385e-3,1.187e-2,-3.387e-1,2.295e-5,2.118e-22,1.187e-2,-3.387e-1,1.000e+0,0.000e+3,2.373e-4,-6.773e-3
4.898e+06,1.300e-3,-3.244e-2,1.300e-3,-3.244e-2,9.997e-2,6.489e-4,2.600e-5,-6.489e-4,1.089e-4,-3.244e-3,1.090e-2,-3.246e-1,2.108e-5,0.000e+3,1.090e-2,-3.246e-1,1.000e+0,0.000e+3,2.180e-4,-6.492e-3
