      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
2.245e+06,4.752e+0,1.085e+0,-1.196e-2,2.482e-2,3.304e-3,-1.446e-2,-1.594e-4,3.310e-4,1.012e-5,7.232e-2,4.599e-2,3.286e+2,1.012e-5,0.000e+3,4.599e-2,3.286e+2,-1.258e-3,5.511e-3,-2.414e-2,-5.508e-3
2.449e+06,4.792e+0,9.984e-1,-8.477e-3,1.946e-2,2.775e-3,-1.331e-2,-1.130e-4,2.594e-4,6.006e-6,6.656e-2,3.248e-2,3.599e+2,6.006e-6,0.000e+3,3.248e-2,3.599e+2,-8.845e-4,4.245e-3,-2.037e-2,-4.243e-3
2.653e+06,4.823e+0,9.245e-1,-6.174e-3,1.551e-2,2.364e-3,-1.233e-2,-8.232e-5,2.068e-4,3.716e-6,6.164e-2,2.358e-2,3.912e+2,3.716e-6,2.118e-22,2.358e-2,3.912e+2,-6.401e-4,3.339e-3,-1.742e-2,-3.338e-3
2.857e+06,4.847e+0,8.607e-1,-4.601e-3,1.255e-2,2.038e-3,-1.148e-2,-6.135e-5,1.673e-4,2.382e-6,5.738e-2,1.754e-2,4.224e+2,2.382e-6,0.000e+3,1.754e-2,4.224e+2,-4.747e-4,2.673e-3,-1.506e-2,-2.673e-3
3.061e+06,4.867e+0,8.049e-1,-3.499e-3,1.029e-2,1.775e-3,-1.073e-2,-4.665e-5,1.372e-4,1.575e-6,5.366e-2,1.331e-2,4.535e+2,1.575e-6,0.000e+3,1.331e-2,4.535e+2,-3.594e-4,2.173e-3,-1.314e-2,-2.173e-3
3.265e+06,4.883e+0,7.558e-1,-2.707e-3,8.535e-3,1.560e-3,-1.008e-2,-3.609e-5,1.138e-4,1.069e-6,5.039e-2,1.028e-2,4.845e+2,1.069e-6,0.000e+3,1.028e-2,4.845e+2,-2.772e-4,1.791e-3,-1.157e-2,-1.791e-3
3.469e+06,4.896e+0,7.123e-1,-2.127e-3,7.156e-3,1.382e-3,-9.498e-3,-2.836e-5,9.541e-5,7.430e-7,4.749e-2,8.066e-3,5.155e+2,7.430e-7,0.000e+3,8.066e-3,5.155e+2,-2.172e-4,1.493e-3,-1.026e-2,-1.493e-3
3.673e+06,4.908e+0,6.735e-1,-1.694e-3,6.056e-3,1.233e-3,-8.980e-3,-2.259e-5,8.075e-5,5.273e-7,4.490e-2,6.418e-3,5.465e+2,5.273e-7,0.000e+3,6.418e-3,5.465e+2,-1.726e-4,1.258e-3,-9.165e-3,-1.258e-3
3.878e+06,4.917e+0,6.387e-1,-1.366e-3,5.170e-3,1.106e-3,-8.516e-3,-1.821e-5,6.893e-5,3.812e-7,4.258e-2,5.170e-3,5.774e+2,3.812e-7,-1.323e-23,5.170e-3,5.774e+2,-1.389e-4,1.069e-3,-8.233e-3,-1.069e-3
4.082e+06,4.925e+0,6.072e-1,-1.114e-3,4.447e-3,9.983e-4,-8.096e-3,-1.485e-5,5.930e-5,2.802e-7,4.048e-2,4.211e-3,6.083e+2,2.802e-7,0.000e+3,4.211e-3,6.083e+2,-1.130e-4,9.169e-4,-7.437e-3,-9.168e-4
4.286e+06,4.932e+0,5.787e-1,-9.168e-4,3.853e-3,9.055e-4,-7.716e-3,-1.222e-5,5.137e-5,2.091e-7,3.858e-2,3.464e-3,6.392e+2,2.091e-7,0.000e+3,3.464e-3,6.392e+2,-9.294e-5,7.920e-4,-6.750e-3,-7.920e-4
4.49e+06,4.938e+0,5.528e-1,-7.616e-4,3.359e-3,8.250e-4,-7.370e-3,-1.015e-5,4.479e-5,1.582e-7,3.685e-2,2.876e-3,6.700e+2,1.582e-7,-6.617e-24,2.876e-3,6.700e+2,-7.711e-5,6.889e-4,-6.154e-3,-6.889e-4
4.694e+06,4.943e+0,5.290e-1,-6.378e-4,2.946e-3,7.548e-4,-7.053e-3,-8.505e-6,3.928e-5,1.212e-7,3.527e-2,2.408e-3,7.009e+2,1.212e-7,0.000e+3,2.408e-3,7.009e+2,-6.451e-5,6.029e-4,-5.634e-3,-6.029e-4
4.898e+06,4.948e+0,5.072e-1,-5.382e-4,2.598e-3,6.932e-4,-6.763e-3,-7.177e-6,3.464e-5,9.385e-8,3.381e-2,2.031e-3,7.317e+2,9.385e-8,0.000e+3,2.031e-3,7.317e+2,-5.439e-5,5.306e-4,-5.176e-3,-5.306e-4
5.102e+06,4.952e+0,4.871e-1,-4.573e-4,2.302e-3,6.389e-4,-6.495e-3,-6.098e-6,3.070e-5,7.346e-8,3.247e-2,1.725e-3,7.625e+2,7.346e-8,0.000e+3,1.725e-3,7.625e+2,-4.618e-5,4.694e-4,-4.773e-3,-4.694e-4
5.306e+06,4.956e+0,4.685e-1,-3.911e-4,2.050e-3,5.907e-4,-6.247e-3,-5.214e-6,2.733e-5,5.806e-8,3.124e-2,1.474e-3,7.933e+2,5.806e-8,-1.654e-24,1.474e-3,7.933e+2,-3.946e-5,4.173e-4,-4.414e-3,-4.173e-4
