      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 5.918e+06,  3.353e+00, -8.941e-02,  6.049e-02, -2.682e-01,  3.293e-02,  1.788e-03,  1.210e-03, -5.365e-03,  1.103e-01, -8.941e-03,  4.752e-01, -8.430e+00,  1.512e-03, -5.421e-20,  1.014e+02, -8.221e+00,  2.016e-02, -7.945e-02,  2.781e-02, -1.644e-01
 6.122e+06,  3.352e+00, -8.671e-02,  5.670e-02, -2.601e-01,  3.296e-02,  1.734e-03,  1.134e-03, -5.203e-03,  1.103e-01, -8.671e-03,  4.442e-01, -8.150e+00,  1.418e-03,  0.000e+00,  1.013e+02, -7.962e+00,  1.891e-02, -7.711e-02,  2.603e-02, -1.592e-01
 6.327e+06,  3.351e+00, -8.415e-02,  5.326e-02, -2.525e-01,  3.298e-02,  1.683e-03,  1.065e-03, -5.049e-03,  1.104e-01, -8.415e-03,  4.161e-01, -7.889e+00,  1.331e-03,  5.421e-20,  1.012e+02, -7.718e+00,  1.777e-02, -7.489e-02,  2.442e-02, -1.544e-01
 6.531e+06,  3.350e+00, -8.174e-02,  5.011e-02, -2.452e-01,  3.300e-02,  1.635e-03,  1.002e-03, -4.904e-03,  1.104e-01, -8.174e-03,  3.905e-01, -7.644e+00,  1.253e-03,  0.000e+00,  1.011e+02, -7.488e+00,  1.674e-02, -7.279e-02,  2.295e-02, -1.498e-01
 6.735e+06,  3.349e+00, -7.945e-02,  4.724e-02, -2.384e-01,  3.302e-02,  1.589e-03,  9.447e-04, -4.767e-03,  1.105e-01, -7.945e-03,  3.673e-01, -7.413e+00,  1.181e-03,  5.421e-20,  1.011e+02, -7.271e+00,  1.578e-02, -7.080e-02,  2.161e-02, -1.454e-01
 6.939e+06,  3.348e+00, -7.728e-02,  4.460e-02, -2.319e-01,  3.304e-02,  1.546e-03,  8.919e-04, -4.637e-03,  1.105e-01, -7.728e-03,  3.460e-01, -7.196e+00,  1.115e-03,  0.000e+00,  1.010e+02, -7.066e+00,  1.491e-02, -6.890e-02,  2.039e-02, -1.413e-01
 7.143e+06,  3.347e+00, -7.523e-02,  4.217e-02, -2.257e-01,  3.305e-02,  1.505e-03,  8.434e-04, -4.514e-03,  1.105e-01, -7.523e-03,  3.266e-01, -6.992e+00,  1.054e-03,  0.000e+00,  1.010e+02, -6.872e+00,  1.411e-02, -6.710e-02,  1.926e-02, -1.374e-01
 7.347e+06,  3.347e+00, -7.327e-02,  3.993e-02, -2.198e-01,  3.307e-02,  1.465e-03,  7.986e-04, -4.396e-03,  1.106e-01, -7.327e-03,  3.087e-01, -6.798e+00,  9.983e-04, -2.711e-20,  1.009e+02, -6.688e+00,  1.336e-02, -6.539e-02,  1.822e-02, -1.338e-01
 7.551e+06,  3.346e+00, -7.141e-02,  3.787e-02, -2.142e-01,  3.308e-02,  1.428e-03,  7.573e-04, -4.285e-03,  1.106e-01, -7.141e-03,  2.923e-01, -6.615e+00,  9.467e-04,  2.711e-20,  1.009e+02, -6.514e+00,  1.268e-02, -6.376e-02,  1.727e-02, -1.303e-01
 7.755e+06,  3.345e+00, -6.964e-02,  3.596e-02, -2.089e-01,  3.309e-02,  1.393e-03,  7.191e-04, -4.179e-03,  1.106e-01, -6.964e-03,  2.772e-01, -6.442e+00,  8.989e-04, -5.421e-20,  1.008e+02, -6.348e+00,  1.204e-02, -6.220e-02,  1.639e-02, -1.270e-01
 7.959e+06,  3.345e+00, -6.796e-02,  3.419e-02, -2.039e-01,  3.311e-02,  1.359e-03,  6.837e-04, -4.077e-03,  1.106e-01, -6.796e-03,  2.631e-01, -6.277e+00,  8.547e-04, -2.711e-20,  1.008e+02, -6.190e+00,  1.145e-02, -6.072e-02,  1.557e-02, -1.238e-01
 8.163e+06,  3.344e+00, -6.635e-02,  3.254e-02, -1.990e-01,  3.312e-02,  1.327e-03,  6.508e-04, -3.981e-03,  1.107e-01, -6.635e-03,  2.502e-01, -6.121e+00,  8.136e-04,  0.000e+00,  1.007e+02, -6.040e+00,  1.091e-02, -5.930e-02,  1.481e-02, -1.208e-01
 8.367e+06,  3.344e+00, -6.481e-02,  3.101e-02, -1.944e-01,  3.313e-02,  1.296e-03,  6.203e-04, -3.889e-03,  1.107e-01, -6.481e-03,  2.381e-01, -5.972e+00,  7.753e-04,  0.000e+00,  1.007e+02, -5.897e+00,  1.040e-02, -5.795e-02,  1.411e-02, -1.179e-01
 8.571e+06,  3.343e+00, -6.334e-02,  2.959e-02, -1.900e-01,  3.314e-02,  1.267e-03,  5.918e-04, -3.801e-03,  1.107e-01, -6.334e-03,  2.270e-01, -5.830e+00,  7.397e-04, -1.355e-20,  1.007e+02, -5.760e+00,  9.924e-03, -5.665e-02,  1.345e-02, -1.152e-01
 8.776e+06,  3.343e+00, -6.194e-02,  2.826e-02, -1.858e-01,  3.314e-02,  1.239e-03,  5.652e-04, -3.716e-03,  1.107e-01, -6.194e-03,  2.165e-01, -5.695e+00,  7.065e-04,  0.000e+00,  1.006e+02, -5.630e+00,  9.481e-03, -5.541e-02,  1.284e-02, -1.126e-01
 8.980e+06,  3.342e+00, -6.059e-02,  2.702e-02, -1.818e-01,  3.315e-02,  1.212e-03,  5.403e-04, -3.635e-03,  1.107e-01, -6.059e-03,  2.068e-01, -5.566e+00,  6.754e-04, -1.355e-20,  1.006e+02, -5.505e+00,  9.066e-03, -5.422e-02,  1.227e-02, -1.101e-01
 9.184e+06,  3.342e+00, -5.930e-02,  2.585e-02, -1.779e-01,  3.316e-02,  1.186e-03,  5.171e-04, -3.558e-03,  1.108e-01, -5.930e-03,  1.977e-01, -5.443e+00,  6.463e-04,  0.000e+00,  1.006e+02, -5.386e+00,  8.678e-03, -5.308e-02,  1.174e-02, -1.077e-01
 9.388e+06,  3.342e+00, -5.806e-02,  2.476e-02, -1.742e-01,  3.317e-02,  1.161e-03,  4.953e-04, -3.484e-03,  1.108e-01, -5.806e-03,  1.892e-01, -5.325e+00,  6.191e-04,  1.355e-20,  1.006e+02, -5.271e+00,  8.314e-03, -5.198e-02,  1.124e-02, -1.054e-01
 9.592e+06,  3.341e+00, -5.687e-02,  2.374e-02, -1.706e-01,  3.318e-02,  1.137e-03,  4.748e-04, -3.412e-03,  1.108e-01, -5.687e-03,  1.813e-01, -5.212e+00,  5.935e-04, -1.355e-20,  1.005e+02, -5.162e+00,  7.972e-03, -5.093e-02,  1.077e-02, -1.032e-01
 9.796e+06,  3.341e+00, -5.573e-02,  2.278e-02, -1.672e-01,  3.318e-02,  1.115e-03,  4.556e-04, -3.344e-03,  1.108e-01, -5.573e-03,  1.738e-01, -5.103e+00,  5.695e-04,  2.711e-20,  1.005e+02, -5.056e+00,  7.651e-03, -4.992e-02,  1.033e-02, -1.011e-01
 1.000e+07,  3.341e+00, -5.464e-02,  2.188e-02, -1.639e-01,  3.319e-02,  1.093e-03,  4.375e-04, -3.278e-03,  1.108e-01, -5.464e-03,  1.668e-01, -4.999e+00,  5.469e-04, -2.711e-20,  1.005e+02, -4.955e+00,  7.349e-03, -4.895e-02,  9.920e-03, -9.910e-02
